VIN,Plate Number,Vehicle Year,Vehicle Make,Vehicle Model,Group Policy Insurer Name,Group Policy Number,Group Policy Expiration Date,Peer To Peer Company Name,Peer To Peer Vehicle Added Date
JTDP4RCE5LJ021066,KYK9828,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/08/2022 12:00:00 AM
JTDP4RCE7LJ017309,KXT5055,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,02/07/2023 12:00:00 AM
JTDP4RCE8LJ040534,KYU5839,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,10/03/2022 12:00:00 AM
JTDS4MCE2N3511145,KMU5566,2022,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/11/2022 12:00:00 AM
JTDS4MCE2N3511789,LAH5188,2022,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,05/01/2023 12:00:00 AM
JTDS4MCE4N3512099,KXT3828,2022,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,09/02/2022 12:00:00 AM
JTDS4RCE0LJ021664,447PGV,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,12/05/2022 12:00:00 AM
JTDS4RCE3LJ044095,LAN3219,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,03/08/2023 12:00:00 AM
JTDS4RCE8LJ044268,JGS9496,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,07/10/2022 12:00:00 AM
JTDVPRAE9LJ102766,KXC6232,2020,Toyota,Corolla,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,07/04/2022 12:00:00 AM
JTDZN3EU4D3233602,FHW7940,2013,Toyota,Prius v,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,09/18/2023 12:00:00 AM
JTDZN3EU7FJ029018,VAS386,2015,Toyota,Prius v,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,10/07/2022 12:00:00 AM
JTEAAAAH3MJ031024,LEV6750,2021,Toyota,Venza,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,10/03/2023 12:00:00 AM
JTEAAAAH3NJ110307,KAM5247,2022,Toyota,Venza,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,12/29/2022 12:00:00 AM
JTEAAAAH5NJ094904,KUJ2249,2022,Toyota,Venza,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,01/13/2023 12:00:00 AM
JTEAAAAH6MJ078712,KUP2327,2021,Toyota,Venza,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,05/15/2023 12:00:00 AM
JTEBU4BF9BK100123,JKT6183,2011,Toyota,FJ Cruiser,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,10/12/2023 12:00:00 AM
JTEBU5JR1L5748301,JFB7820,2020,Toyota,4Runner,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,10/15/2023 12:00:00 AM
JTEBU5JR2D5146007,KUJ5368,2013,Toyota,4Runner,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,09/01/2023 12:00:00 AM
JTEKU5JR0N5980293,KMH2909,2022,Toyota,4Runner,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/10/2022 12:00:00 AM
JTEKU5JR1M5873719,KYJ 3914,2021,Toyota,4Runner,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/24/2022 12:00:00 AM
JTEKU5JR2P6153506,LDU5652,2023,Toyota,4Runner,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/01/2023 12:00:00 AM
JTELU5JR9P6128977,LAP9554,2023,Toyota,4Runner,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,04/05/2023 12:00:00 AM
JTEUU5JR0P6156509,MECTHET,2023,Toyota,4Runner,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/14/2023 12:00:00 AM
JTHA81F20M5047371,LBS6315,2021,Lexus,IS,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,03/20/2023 12:00:00 AM
JTHBK1EG7A2413634,KWD6691,2010,Lexus,ES,Travelers Excess and Surplus Lines Company,HC2Q-CAP-0T011605-TXS-23,02/01/2024 12:00:00 AM,Turo,08/04/2022 12:00:00 AM
